Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
PN1993;All;Film Quarterly;None;None;1989-2009;None
SOCIAL SCIENCES: COMPREHENSIVE WORKS;Elizabeth Torres;Finance & Development;1989-2007;from 1989;1985-2007;Business Collection|
HF5679;Crystal Boyce;Financial & Accounting Systems;None;None;1990-1992;None
HG4001;Crystal Boyce;The Financial Manager;None;None;1989-1990;None
BUSINESS AND ECONOMICS - BANKING AND FINANCE;Crystal Boyce;Financial World;1995-1997;1989-1990 1992-1992 1995-1997;1993-1997;EBSCO MAS Complete|Business Source Complete|Academic Search Complete|General OneFile|
TP370;All;Food Technology;None;None;1988-2007;None
BUSINESS AND ECONOMICS;Crystal Boyce;Forbes;1990-2008;from 1990;1970-2008;Business Source Complete|
PB1;Ruth Hanlon;Foreign Language Annals;2004-2005;from 2004;1987-2005;Linguistics Database|
E744;Elizabeth Torres;Foreign Policy;None;from 1990;1975-1989;EBSCO MasterFILE Complete|Academic Search Complete|
K16;Lydia Lee;Fortnightly;1994-1994;1994-1994;1993-1994;General OneFile|
HF5001;Crystal Boyce;Fortune;None;from 1992;1962-1965;Open Access eJournals (McGill)|
DS701;All;Free China Review;None;None;1976-2000;None
HB3730;Crystal Boyce;Futures;None;from 1995;1987-1994;Elsevier ScienceDirect Journals|
CB158;All;Futurist, The;1989-1990;1989-2015;1974-1990;Science in Context|Religion and Philosophy Collection|
AP2;Elizabeth Torres;The Georgia review;None;None;1988-1996;None
QE1;All;Geotimes;None;2000-2008;1991-1994;Open Access eJournals (McGill)|
HQ1060;All;The Gerontologist;None;None;1988-2008;None
HF5549.A2;Crystal Boyce;Getting Results;1996-1997;1996-1997;1996-1997;Business Insights: Global|Business Source Complete|EBSCO MasterFILE Complete|
LC3991;Lisa Hausman;The Gifted Child Quarterly;None;from 1999;1989-1998;SAGE Premier 2018|
HF1;Crystal Boyce;Global Trade & Transportation;1993-1994;1993-1994;1993-1994;Business Insights: Global|
RA960;Elizabeth Torres;H&HN: Hospitals & Health Networks;1993-1994;1993-2017;1993-1994;EBSCO MasterFILE Complete|Academic Search Complete|
LITERARY AND POLITICAL REVIEWS;Elizabeth Torres;Harper's Magazine;1992-2007;1992-2007;1968-2008;EBSCO MasterFILE Complete|Opposing Viewpoints in Context|
L11;Lisa Hausman;Harvard Educational Review;None;None;1989-2007;None
R724;Lydia Lee;Hastings Center Report;1988-1990;1988-2017;1987-1990;Cinahl Complete|Academic OneFile|
Q3;All;The Hawaii Herald;None;None;1980-1988;None
RA773;All;Health;1992-1998;1992-2005 from 2010;1992-1998;Academic Search Complete|Alt-HealthWatch|
HV687.5.U5;Elizabeth Torres;Health and Social Work;1990-1998;1990-2017;1990-1998;Educators Reference Complete|
HEALTH FACILITIES AND ADMINISTRATION;Elizabeth Torres;Health Care Management Review;1997-1998;from 1997;1988-1998;LWW Total Access Collection 2015 - Q1 with Neurology|
HF5686.H7;Elizabeth Torres;Healthcare Financial Management;1994-1998;from 1994;1988-1998;Nursing and Allied Health Collection|
RC681.A1;Elizabeth Torres;Heart & Lung;1995-2008;from 1995;1995-2008;Elsevier ScienceDirect Journals|
T1;All;High Technology Business;1988-1989;1988-1989;1987-1989;General OneFile|
HISTORY;Trenton Tubbs;Historian;None;from 2012;1976-2002;EBSCO Historical Abstracts with Full Text|
HB1;Crystal Boyce;History of Political Economy;None;1997-2017;1975-1996;Project Muse Journals Standard Collection|
RT1;Elizabeth Torres;Holistic Nursing Practice;1999-2007;from 1999;1997-2007;Cinahl Complete|LWW Total Access Collection 2015 - Q1 with Neurology|
Medical Sciences;All;Home Healthcare Nurse;2000-2007;2000-2014;1991-2007;LWW Total Access Collection 2015 - Q1 with Neurology|
RA977.A1;Elizabeth Torres;Hospitals;1989-1993;1984-1993;1989-1993;General OneFile|Academic OneFile|
