Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
HG1501;Crystal Boyce;Journal of Retail Banking Services;1995;1995-1999;1993-1995;General OneFile
LB3401;Lisa Hausman;The Journal of School Health;All;1989-2009;1989-1996;General OneFile
HV11;Elizabeth Torres;Journal of Social Work Education;All;from 1990;1991-1996;Academic Search Complete
HD28;Crystal Boyce;Journal of Systems Management;All;1989-1996;1989-1996;General OneFile
LB1705;Lisa Hausman;Journal of Teacher Education;1997-1998;from 1997;1986-1998;Biography in Context
RM214;Elizabeth Torres;Journal of the American Dietetic Association;All;1989-2003;1991-1994;Academic OneFile
;Ruth Hanlon;Language;All;from 1974;1990-1999;Project Muse Journals Standard Collection
LB1028.5;Lisa Hausman;Learning and Leading with Technology;2000-2008;2000-2014;1995-2008;General OneFile
L13;Lisa Hausman;Liberal Education;1990-2001;from 1990;1987-2001;EBSCO MasterFILE Complete
AP2;All;Life;1996-2000;1996-2000;1984-2000;Academic Search Complete
